Store,Month,2014_Sales_avg_yeartoyear
1,1,-0.07
1,2,-0.12
1,3,-0.2
1,4,-0.02
1,5,0
1,6,-0.05
1,7,-0.04
1,8,-0.06
1,9,-0.02
1,10,0
1,11,0.03
1,12,0.11
2,1,0.06
2,2,0.03
2,3,-0.04
2,4,0.05
2,5,0.02
2,6,0.06
2,7,-0.05
2,8,-0.03
2,9,0.08
2,10,0.01
2,11,0.03
2,12,0.03
3,1,0.05
3,2,-0.02
3,3,-0.08
3,4,-0.05
3,5,-0.04
3,6,0
3,7,-0.12
3,8,-0.09
3,9,0.06
3,10,-0.04
3,11,0.05
3,12,-0.01
4,1,0
4,2,-0.02
4,3,-0.07
4,4,0.02
4,5,0.02
4,6,0
4,7,0.15
4,8,0.08
4,9,0.11
4,10,0.09
4,11,0.09
4,12,0.04
5,1,0.03
5,2,0.06
5,3,-0.06
5,4,0.08
5,5,0.02
5,6,0.07
5,7,-0.19
5,8,-0.12
5,9,0.08
5,10,-0.02
5,11,0.03
5,12,0.01
6,1,-0.19
6,2,-0.15
6,3,-0.19
6,4,-0.13
6,5,-0.19
6,6,-0.2
6,7,-0.22
6,8,-0.26
6,9,-0.16
6,10,-0.21
6,11,-0.21
6,12,-0.12
7,1,0.07
7,2,0.08
7,3,-0.04
7,4,0.12
7,5,0.03
7,6,0.04
7,7,-0.03
7,8,0.04
7,9,0.15
7,10,0.05
7,11,0.05
7,12,0.05
8,1,0.03
8,2,0.03
8,3,-0.02
8,4,0.04
8,5,0.02
8,6,0.08
8,7,0.09
8,8,-0.01
8,9,0.24
8,10,0.22
8,11,0.26
8,12,0.17
9,1,0.27
9,2,0.24
9,3,0.16
9,4,0.15
9,5,0.2
9,6,0.23
9,7,0.07
9,8,0.14
9,9,0.22
9,10,0.17
9,11,0.21
9,12,0.17
10,1,0.06
10,2,0.05
10,3,0.05
10,4,0.03
10,5,0.12
10,6,0.03
10,7,0.09
10,8,-0.08
10,9,0.11
10,10,0.1
10,11,0.06
10,12,0.04
11,1,-0.03
11,2,-0.02
11,3,-0.15
11,4,0.07
11,5,0
11,6,-0.02
11,7,-0.04
